model_name,train_rmse,val_rmse,train_r2,val_r2,train_mae,val_mae,cv_rmse,cv_std
Random Forest,824.4118867128441,971.8312948456954,0.6998802406477704,0.5731800566900143,596.1340905064761,700.6152655125678,996.7132112020059,36042.206379727875
XGBoost,779.7320864437959,986.2016448185941,0.7315292897801791,0.5604640636298315,570.869964872751,709.8145441425901,1015.5029206419533,29327.792401465096
Linear Regression,1074.3514777697408,1064.1496471448547,0.4903184994959523,0.4882376236223692,833.6217967107657,813.2051629194042,1076.3755993535706,24496.12906811297
Ridge Regression,1074.3515638616227,1064.1770897184215,0.49031841781050356,0.48821122835402275,833.621928422568,813.2311270171864,1076.3493253477698,24523.014973909045
Lasso Regression,1074.3535124659877,1064.3262098020987,0.4903165689396314,0.4880677873190663,833.631264893799,813.3885483132938,1076.3063160724585,24571.11984578267
